id,order,argTypeNewE,argTypeNewEXIST,argTypeNewP,argTypeNewPRED,argTypeNewR,noPrevMentions,noPrevZero,noNextMentions,noNextZero,haveBridges,identifiable,local,justFirst,justLast,interrog,animate,self,addressee,length,pronom,noPrevMentionsFar,noNextMentionsFar,logworth,worth,denom,p_arg,p_clause,predOrder
B041E0A1BB37,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1.6094379124341003,0,0,0,-0.5820489420404361,0.5587523417339362,0.5587523417339362,1,0.5662982430198729,2
36D5474AEED91,1,0,0,0,0,0,0.6931471805599453,0,0.6931471805599453,0,1,1,0,0,0,0,0,0,0,1.6094379124341003,0,0,0,1.8553648628904365,6.394030769618354,6.655738663728514,0.9606793614754771,0.9606793614754771,1
36D5474AEED91,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0986122886681098,0,0,0,-1.3405263051697618,0.26170789411016065,0.26170789411016065,1,0.9606793614754771,2
99738F134C9F,1,0,0,0,0,0,0,0,1.0986122886681098,0,0,1,0,0,0,0,1,0,0,1.3862943611198906,1,1.6094379124341003,0,0.4680559061100641,1.5968866759138334,1.858594570023994,0.8591904343577297,0.8591904343577297,1
99738F134C9F,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0986122886681098,0,0,0,-1.3405263051697618,0.26170789411016065,0.26170789411016065,1,0.8591904343577297,2
2ACBF7D3C9408,1,0,0,0,0,0,0,1.0986122886681098,1.0986122886681098,1.0986122886681098,0,1,1,0,0,0,1,0,1,1.0986122886681098,1,0.6931471805599453,0.6931471805599453,0.4429644685556133,1.5573169996363592,2.5987993900327537,0.5992447918870458,0.5992447918870458,1
2ACBF7D3C9408,2,1,0,0,0,0,0.6931471805599453,0,0.6931471805599453,0,0,1,0,0.6931471805599453,0,0,1,0,0,0.6931471805599453,1,1.6094379124341003,0,0.04064507365121982,1.0414823903963946,1.0414823903963946,1,0.5992447918870458,2
2EAE7BA27D25,1,0,0,0,0,0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,1,1,0.6931471805599453,0,0,1,0,1,1.0986122886681098,1,0.6931471805599453,0.6931471805599453,1.4443590849765038,4.239134347085743,4.500842241195904,0.9418535731568715,0.9418535731568715,1
2EAE7BA27D25,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0986122886681098,0,0,0,-1.3405263051697618,0.26170789411016065,0.26170789411016065,1,0.9418535731568715,2
ZDvT92948Of,1,0,0,0,0,0,1.0986122886681098,0,0,0,0,1,0,0.6931471805599453,0.6931471805599453,0,1,0,0,1.3862943611198906,0,1.6094379124341003,0,2.1010905020244564,8.175079994737697,10.34972912127036,0.7898834741420034,0.7898834741420034,1
ZDvT92948Of,2,1,0,0,0,0,1.0986122886681098,0.6931471805599453,0,0.6931471805599453,0,1,0,1.0986122886681098,0,0,1,0,0,0.6931471805599453,0,0.6931471805599453,0.6931471805599453,0.7768673303925866,2.174649126532665,2.174649126532665,1,0.7898834741420034,2
16F92592974DE,1,0,0,0,0,0,0,0,0.6931471805599453,0,1,1,0,0,0,0,1,0,1,1.791759469228055,1,1.3862943611198906,0,1.4710541934962018,4.35382249401589,4.832291275353824,0.9009851116015558,0.9009851116015558,1
16F92592974DE,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.1972245773362196,0,0,0,-0.7371643129804671,0.47846878133793447,0.47846878133793447,1,0.9009851116015558,2
18EA4F21CD4D4,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0.6931471805599453,1,1.6094379124341003,0,1.7436395700739598,5.718117083960727,6.570934836290061,0.8702136341971649,0.8702136341971649,1
18EA4F21CD4D4,2,1,0,0,0,0,0.6931471805599453,0,0,0,0,1,0,0,0,0,0,0,0,1.791759469228055,0,0,0,-0.15920940926595428,0.8528177523293334,0.8528177523293334,1,0.8702136341971649,2
7CEDFB27DCA8,1,0,1,0,0,0,0,0,0.6931471805599453,0,0,0,0,0,0,0,0,0,0,1.6094379124341003,0,0,0,-1.6067924507809996,0.20052979279490354,1.9855758884575718,0.1009932654604697,0.1009932654604697,2
7CEDFB27DCA8,2,0,0,0,0,0,0,0,0.6931471805599453,0,0,1,0,0,0,0,0,0,0,1.0986122886681098,0,0,0,0.5794442387988258,1.7850460956626684,1.7850460956626684,1,0.1009932654604697,1
9jVrWiYgvUG,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.791759469228055,0,0,0,-0.7374116692509859,0.4783504437210022,0.5405994485788851,0.8848518898391007,0.8848518898391007,1
9jVrWiYgvUG,2,1,0,0,0,0,0,0,0.6931471805599453,0,0,0,0,0,0,1,0,0,0,1.3862943611198906,1,0,0,-2.7766127299838494,0.06224900485788291,0.06224900485788291,1,0.8848518898391007,2
