"id","name","unitLastWord","unitSeqLast","word","docTokenSeqFirst","docTokenSeqLast","local","identifiable","topic","interrog","argType","animate","self","addressee","length","pronom","haveBridges","remarks"
"RBtsQTrfjND","ched las slob chen","le- བསླབ་གྲྭ་ ཐོན་པ་ རེད་པ །",243,"བསླབ་གྲྭ་",1131,1131,FALSE,"i",FALSE,FALSE,"E",FALSE,FALSE,FALSE,2,FALSE,FALSE,NA
"0kCRoiQqntc","'jag ma gling ka","འདི ར་",249,"འདི ར་",1154,1155,TRUE,"i",TRUE,FALSE,"COPS",FALSE,FALSE,FALSE,2,TRUE,FALSE,NA
"EV2B5hx3OTncI","gur rgyag sa","གུར་ རྒྱག་ ས་ རེད་ པ །",254,"ཞོལ་འབག་ གི་ རེད་ ཟེར་ ཡ་ ཟ་ཁང་ གི་ / #ད་ #གཅིག་ #འདི་འདྲས་ #གཅིག་ #མ་བཞིན་ #གཅིག་ #གིས་ གུར་ རྒྱག་ ས་",1156,1173,FALSE,"n",FALSE,FALSE,"PRED",FALSE,FALSE,FALSE,21,FALSE,FALSE,NA
"UQVODLpoWbM","rgan lags","ང ས་ དེ ར་ འཇག་མ་ #ཞེ་པོ་",312,"ང ས་",1447,1448,TRUE,"i",FALSE,FALSE,"A",TRUE,TRUE,FALSE,2,TRUE,FALSE,NA
"Rbs0AWtI6PeNM","'jag ma zhe po zhig skye pa","རྩ་ འཇག་མ་ ཞེ་པོ་ ཞིག་ སྐྱེས་པ་ མཐོང་ མྱོང་ །",313,"དེ ར་ འཇག་མ་ #ཞེ་པོ་ རྩ་ འཇག་མ་ ཞེ་པོ་ ཞིག་ སྐྱེས་པ་",1449,1457,FALSE,"i",FALSE,FALSE,"P",FALSE,FALSE,FALSE,14,FALSE,FALSE,NA
"kRvTwSAZ32R","1996","ལྟ་ ཀང་ ཆེ་ ཤོས་ དེ་ ༡༩༩༦ དེ་ སྐབས་ རེད །",329,"ཀང་ ཆེ་ ཤོས་ དེ་",1530,1533,FALSE,"i",TRUE,FALSE,"COPS",FALSE,FALSE,FALSE,4,FALSE,TRUE,"Mannually changed bridge to true; this is a subset of a previous event (not referential expression)"
"j5uYhSKcSdf","1996","ལྟ་ ཀང་ ཆེ་ ཤོས་ དེ་ ༡༩༩༦ དེ་ སྐབས་ རེད །",329,"༡༩༩༦ དེ་ སྐབས་",1534,1536,FALSE,"i",FALSE,FALSE,"PRED",FALSE,FALSE,FALSE,3,FALSE,FALSE,NA
"AZ182KfUCq3","tshur phyogs kyi khang pa","ཚུར་ སྣང་ ལམ་ཀ འི་ ངོགས་ ཡོད་པ འི་ ཁང་པ་ འདི་ གས་",340,"ཚུར་ སྣང་ ལམ་ཀ འི་ ངོགས་ ཡོད་པ འི་ ཁང་པ་ འདི་ གས་",1567,1576,FALSE,"i",TRUE,FALSE,"COPS",FALSE,FALSE,FALSE,13,FALSE,FALSE,NA
"IWHuJ9p4aPP","1995-ish","ཕལ་ཆེར་ ༡༩༩༥ ཙམ་ ནས་ མིན་འགྲོ",341,"༡༩༩༥ ཙམ་ ནས་",1578,1580,FALSE,"i",FALSE,FALSE,"PRED",FALSE,FALSE,FALSE,3,FALSE,FALSE,NA
"Laa5SDYG8F6","rgan lags","ཨ་ནི་ རྒན་ལགས་ _mm_",353,"རྒན་ལགས་",1630,1630,TRUE,"i",FALSE,FALSE,"S",TRUE,FALSE,TRUE,2,FALSE,FALSE,NA
"bzGwiuGw0gZ","mar (part of island?)","## ཕ་གི ར་ ཕེབས་ ཀྱི་ ཡོད་ དམ །",354,"ཕ་གི ར་",1633,1634,FALSE,"i",TRUE,FALSE,"E",FALSE,FALSE,FALSE,3,TRUE,TRUE,NA
